id;text;label
csis_24405;indonesia saya masih dapat kiriman sate gule kambing saat idhul adha bang dapat aneka masakan saat natal dan tahun baru tionghoa;not-hate
csis_16896;bukan hanya mengoyak mengoyak baju dan berteriak saja kalau syiah adalah tapi sampai melukai diri sendiri jadi jelas ya bukan golongan umat nabi muhammad saw;hate
csis_1010;kaum 1/2 kafir dengan otakjunkfood nya masih berkelit mencatut islam dengan kegiatan kegiatan yang merusak aqidah islam;hate
csis_3672;@USER bro..lu pikir asing sama asing kasih hutang tidak ada maksud terselubung..gk ada makan siang yang gratis..asal kamu tau cebong macam kamu bakal musnah kalau tidak ada yang kasih makan...faham kamu lae;hate
csis_419;@USER haha orang gila berbicara cak..?? makanya jangan terlalu banyak micin biar otak kamu encer cong... ngomong saja ngawur muslim kamu itu muslim silit tau...babi.;hate
csis_27244;pindahin ke papua kata gue adalah;not-hate
csis_27571;semacam dosa turunan begitu ya kok kayak kristen;not-hate
csis_5273;@USER kriminal organisasi papua merdeka di papua itu sangat kejam (inhumane) cara membunuh korban penangkapan mereka (masyarakat sipil pro nkri, tni/polri) - mereka itu bersenjata lengkap bukan hanya tombak, pisau, busur panah, tapi juga senjata modern selundupan asing;not-hate
csis_18334;id eh ekokuntadhi ini benar lo yang berbicara dasar kamu apa ilmu kamu tidak ada secuil kukunya para ustaz ini kamu kan syiah bukan benar kamu syiah kenapa ajaran syiah itu membenci sementara rasulullah tidak pernah membenci bahkan syiah laknat tin sahabat dan mertua rasulullah aneh tidak;hate
csis_4965;@USER karena anda cupu;hate
csis_18618;ajaran ahmadiyah memang keliru karena memgakui adanya nabi setelah nabi muhammad saw tetapi apa mbok di rangkul di bimbing di edukasi ojek online terus malah mbok jotosi main obongâ²an l;not-hate
csis_22949;lebih enak bilang tionghoa sih atau cina;not-hate
csis_13048;@USER yang gue tahu.. negara lain sibuk perang dagang di sini perang ayat, di sana sibuk ke mars di sini sibuk ayat...dst sibuk teriak anti asing dolar minggat mumet.. aku diblokir demo..;not-hate
csis_25304;ang anomali blue mrizal bapak dalam qs al hadid ayat diceritakan ada orang nasrani yang beriman dan mendpt pahala dari allah tapi banyak dari mereka yang fasik fasik itu artinya dia sudah beriman lalu kafir kenapa mereka bisa jadi kafir karena memercayai yesus sebagai anak tuhan dan disalib ajaran paulus kristen;not-hate
csis_9028;@USER haha memang banyak yang tertipu sama onta arab :(;hate
csis_4848;@USER memang gue sipit apah, perasaan belo;not-hate
csis_9257;bertemu lembaga budaya muhammadiyah, ketua dewan perwakilan rakyat sebut ... - warta kota;not-hate
csis_11204;@USER ulama cebong... wajah suram;hate
