id;text;label
csis_3399;"pengguna kata cebong;  ah.. telur naik cuma 3000an saja berisik, dasar kampret miskin... '";hate
csis_5276;pengguna asing teriak asing kaum munafik';hate
csis_7698;pengguna pengguna lagi belajar merayu pak jokowi ingin jadi menteri....barangkali;hate
csis_8801;pengguna pengguna pengguna pengguna pengguna pengguna pengguna wah nih manusia idiot di jawab malah berbicara melantur bukan pikir sudah belajar dulu sana dasar goblok sok pintar tapi bloon';hate
csis_11864;rt pengguna pengguna kata mas budi kumpul orang bodoh/gila dalam jumlah besar. murah biayanya... uniform resource locator;hate
csis_1672;pengguna pengguna makanya plonga plongo.wong kepalanya tidak ada alias otaknya dungu.';hate
csis_5914;tidak usah banyak protes.apa anies konsisten dengan janji kampanye.klu janji tidak terealisasi harusnya di batalkan jadi gubernur;hate
csis_3505;betul. ayo penjarakan koruptor sumber waras.;hate
csis_4962;pengguna pengguna wan bangau kelihatan cupu nya,,, kelomang sana sama emak ';hate
csis_14008;ekokuntadhi wkwk ini adalah sih lius cina yang benar komunis;hate
csis_13624;rt @USER: angin memporakporandakan basis pemenangan sih penista agama...cililitan. ya allah ampuni kami #jakartabanjir;hate
csis_2141;pengguna kayak tai congor jablay lebar kayak anjing';hate
csis_12109;pengguna pengguna pengguna pengguna pengguna kita lihat saja cacing sarden sama cebong lagi mencari dukungan ke ulama.;hate
csis_2503;pengguna aku :( anak kampang ggggg';hate
csis_2365;"mereka semua memang tidak bisa menghargai pribumi atau minimal berlaku sopan sebagai tamu,mereka itu sejatinya perampas hak pribumi...; #stoptkachina; #2019gantipresiden";hate
csis_12052;mari cari pemimpin yang berkualitas...bukan nyinyir jalanan kayak prabowo uniform resource locator;hate
csis_4630;pengguna pengguna apa sih yang tidak mau dikuasai oleh onta pengecut itu? pasti ada saja hubung nya....';hate
csis_25410;ilmiah muda anomali fr kristen itu sesat menyesatkan bisa nya mengakui kalau lai sesuai kaidah bahasa indonesia kamus besar bahasa indonesia kalau benr sesuai kamus besar bahasa indonesia yang benar prtnyaan iya siapa tuhanmu atau siapa allah mu sila ke pancasila ketuhanan apa keallahan sudah sesat anti pancasila;hate
csis_6163;pengguna saya percaya kpk. saya tidak percaya susilo bambang yudhoyono dan demokrat. demokrat katakan tidak pada(hal) korupsi.;hate
csis_3578;pengguna jadi kesimpulannya kamu kenapa bego v?';hate
csis_20756;ha bagaimana bagaimana syiah lgbt kamu bela prof itu gelar bukan sembarang gelar kan;hate
csis_3897;gila ya ini rezim jongos cina;hate
csis_19863;syiah merapat semua ke kekuasaan seolah syiah mewakili islam buzzer syiah juga di kerahkan syiah dan komunis bersatu surat pemberitahuan tahunan di suriah syiah dan komunis rusia juga bersatu menghantam islam bangun umat islam kalian syiah itu bukan bagian dari islam karena mereka benci kita;hate
